N,button_coverage,dead_repeat_rate,family,file,game,length,level,longest_streak,mean_first_try,nochange_rate,novel_alt_frac,novel_frac,outcome,retry,run,solved,valid_coverage
20,0.0,0.0,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,101,2,1,17.666666666666668,0.0,0.45,0.7,truncated,0,arc3-job1-control,False,0.16666666666666666
40,0.2,0.0,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,101,2,9,32.833333333333336,0.0,0.4,0.425,truncated,0,arc3-job1-control,False,0.3333333333333333
0,,,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,101,2,,,,,,truncated,,arc3-job1-control,False,
10,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,22,1,2,4.333333333333333,0.0,0.8,0.8,solved,0,arc3-job1-control,True,0.8333333333333334
20,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,22,1,2,6.0,0.0,0.55,0.75,solved,0,arc3-job1-control,True,0.8333333333333334
0,,,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,22,1,,,,,,solved,,arc3-job1-control,True,
10,0.0,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,66,2,2,9.333333333333334,0.0,0.6,0.8,truncated,0,arc3-job1-control,False,0.16666666666666666
20,0.6,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,66,2,2,16.0,0.0,0.55,0.55,truncated,0,arc3-job1-control,False,0.6666666666666666
40,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,66,2,6,19.5,0.0,0.5,0.3,truncated,0,arc3-job1-control,False,0.8333333333333334
0,,,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,66,2,,,,,,truncated,,arc3-job1-control,False,
10,0.2,0.0,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,13,1,1,7.833333333333333,0.0,0.5,0.9,solved,0,arc3-job1-control,True,0.3333333333333333
0,,,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,13,1,,,,,,solved,,arc3-job1-control,True,
10,0.0,0.0,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,192,2,2,9.333333333333334,0.0,0.7,0.9,truncated,0,arc3-job1-control,False,0.16666666666666666
20,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,192,2,3,14.0,0.0,0.7,0.7,truncated,0,arc3-job1-control,False,0.8333333333333334
40,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,192,2,6,17.333333333333332,0.0,0.5,0.4,truncated,0,arc3-job1-control,False,0.8333333333333334
0,,,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,192,2,,,,,,truncated,,arc3-job1-control,False,
10,0.6,0.0,Flash-Next (Kaggle),lf52-271a04aa_p3_events.jsonl,lf52,18,1,1,6.333333333333333,0.0,1.0,1.0,solved,0,arc3-job1-control,True,0.6666666666666666
0,,,Flash-Next (Kaggle),lf52-271a04aa_p3_events.jsonl,lf52,18,1,,,,,,solved,,arc3-job1-control,True,
0,,,Flash-Next (Kaggle),lf52-271a04aa_p3_events.jsonl,lf52,6,2,,,,,,truncated,,arc3-job1-control,False,
10,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,56,1,7,4.0,0.1,0.4,0.4,truncated,0,arc3-job1-control,False,1.0
20,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,56,1,7,4.0,0.05,0.3,0.2,truncated,0,arc3-job1-control,False,1.0
