N,button_coverage,dead_repeat_rate,family,file,game,length,level,longest_streak,mean_first_try,nochange_rate,novel_alt_frac,novel_frac,outcome,retry,run,solved,valid_coverage
20,0.5,0.0,Flash-Next (Kaggle),ka59-38d34dbb_p0_events.jsonl,ka59,100,3,10,11.6,0.0,0.2,0.2,died,0,arc3-job5-null-control,False,0.6
40,0.75,0.025,Flash-Next (Kaggle),ka59-38d34dbb_p0_events.jsonl,ka59,100,3,10,15.8,0.075,0.2,0.2,died,0,arc3-job5-null-control,False,0.8
0,,,Flash-Next (Kaggle),ka59-38d34dbb_p0_events.jsonl,ka59,100,3,,,,,,died,,arc3-job5-null-control,False,
10,0.75,0.0,Flash-Next (Kaggle),ka59-38d34dbb_p1_events.jsonl,ka59,49,1,6,7.2,0.1,0.4,0.4,solved,0,arc3-job5-null-control,True,0.8
20,1.0,0.05,Flash-Next (Kaggle),ka59-38d34dbb_p1_events.jsonl,ka59,49,1,6,7.6,0.05,0.25,0.25,solved,0,arc3-job5-null-control,True,1.0
40,1.0,0.125,Flash-Next (Kaggle),ka59-38d34dbb_p1_events.jsonl,ka59,49,1,8,7.6,0.05,0.2,0.2,solved,0,arc3-job5-null-control,True,1.0
0,,,Flash-Next (Kaggle),ka59-38d34dbb_p1_events.jsonl,ka59,49,1,,,,,,solved,,arc3-job5-null-control,True,
10,0.5,0.2,Flash-Next (Kaggle),ka59-38d34dbb_p1_events.jsonl,ka59,36,2,7,6.8,0.3,0.3,0.3,truncated,0,arc3-job5-null-control,False,0.6
20,0.5,0.6,Flash-Next (Kaggle),ka59-38d34dbb_p1_events.jsonl,ka59,36,2,10,10.8,0.4,0.15,0.15,truncated,0,arc3-job5-null-control,False,0.6
0,,,Flash-Next (Kaggle),ka59-38d34dbb_p1_events.jsonl,ka59,36,2,,,,,,truncated,,arc3-job5-null-control,False,
10,0.5,0.0,Flash-Next (Kaggle),ka59-38d34dbb_p2_events.jsonl,ka59,23,1,7,8.2,0.1,0.4,0.4,solved,0,arc3-job5-null-control,True,0.6
20,1.0,0.1,Flash-Next (Kaggle),ka59-38d34dbb_p2_events.jsonl,ka59,23,1,7,8.4,0.05,0.35,0.35,solved,0,arc3-job5-null-control,True,1.0
0,,,Flash-Next (Kaggle),ka59-38d34dbb_p2_events.jsonl,ka59,23,1,,,,,,solved,,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),ka59-38d34dbb_p2_events.jsonl,ka59,9,2,,,,,,truncated,,arc3-job5-null-control,False,
10,0.75,0.0,Flash-Next (Kaggle),ka59-38d34dbb_p3_events.jsonl,ka59,21,1,7,8.0,0.1,0.3,0.3,solved,0,arc3-job5-null-control,True,0.6
20,1.0,0.1,Flash-Next (Kaggle),ka59-38d34dbb_p3_events.jsonl,ka59,21,1,8,10.8,0.1,0.25,0.25,solved,0,arc3-job5-null-control,True,1.0
0,,,Flash-Next (Kaggle),ka59-38d34dbb_p3_events.jsonl,ka59,21,1,,,,,,solved,,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),ka59-38d34dbb_p3_events.jsonl,ka59,6,2,,,,,,truncated,,arc3-job5-null-control,False,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,13,1,2,,0.6,0.7,0.8,solved,0,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,13,1,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,67,2,2,,0.4,0.7,0.7,died,0,arc3-job5-null-control,False,
20,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,67,2,6,,0.2,0.4,0.4,died,0,arc3-job5-null-control,False,
40,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,67,2,16,,0.1,0.2,0.2,died,0,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,67,2,,,,,,died,,arc3-job5-null-control,False,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,60,2,2,,0.0,0.2,0.2,died,2,arc3-job5-null-control,False,
20,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,60,2,2,,0.0,0.1,0.1,died,2,arc3-job5-null-control,False,
40,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,60,2,2,,0.0,0.05,0.05,died,2,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,60,2,,,,,,died,,arc3-job5-null-control,False,
10,,0.3,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,64,2,4,,0.4,0.4,0.4,died,4,arc3-job5-null-control,False,
20,,0.15,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,64,2,10,,0.2,0.2,0.2,died,4,arc3-job5-null-control,False,
40,,0.075,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,64,2,10,,0.1,0.1,0.1,died,4,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,64,2,,,,,,died,,arc3-job5-null-control,False,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,12,2,10,,0.0,0.1,0.1,truncated,6,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p0_events.jsonl,lp85,12,2,,,,,,truncated,,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,8,1,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,60,2,3,,0.0,0.4,0.4,died,0,arc3-job5-null-control,False,
20,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,60,2,9,,0.0,0.2,0.2,died,0,arc3-job5-null-control,False,
40,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,60,2,20,,0.0,0.1,0.1,died,0,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,60,2,,,,,,died,,arc3-job5-null-control,False,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,32,2,9,,0.0,0.2,0.2,truncated,2,arc3-job5-null-control,False,
20,,0.05,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,32,2,10,,0.1,0.25,0.25,truncated,2,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p1_events.jsonl,lp85,32,2,,,,,,truncated,,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,5,1,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,19,2,3,,0.0,0.3,0.3,solved,0,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,19,2,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,17,3,3,,0.0,0.2,0.2,solved,0,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,17,3,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,25,4,3,,0.0,0.4,0.4,solved,0,arc3-job5-null-control,True,
20,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,25,4,4,,0.0,0.2,0.2,solved,0,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,25,4,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,11,5,2,,0.1,0.4,0.5,truncated,0,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p2_events.jsonl,lp85,11,5,,,,,,truncated,,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p3_events.jsonl,lp85,8,1,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p3_events.jsonl,lp85,24,2,1,,0.0,0.6,0.6,solved,0,arc3-job5-null-control,True,
20,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p3_events.jsonl,lp85,24,2,2,,0.0,0.3,0.3,solved,0,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p3_events.jsonl,lp85,24,2,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),lp85-305b61c3_p3_events.jsonl,lp85,16,3,2,,0.0,0.2,0.4,truncated,0,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),lp85-305b61c3_p3_events.jsonl,lp85,16,3,,,,,,truncated,,arc3-job5-null-control,False,
10,,0.0,Flash-Next (Kaggle),r11l-495a7899_p0_events.jsonl,r11l,18,1,2,,0.0,0.6,0.9,solved,0,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),r11l-495a7899_p0_events.jsonl,r11l,18,1,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),r11l-495a7899_p0_events.jsonl,r11l,15,2,5,,0.0,0.4,0.6,truncated,0,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),r11l-495a7899_p0_events.jsonl,r11l,15,2,,,,,,truncated,,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),r11l-495a7899_p1_events.jsonl,r11l,5,1,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),r11l-495a7899_p1_events.jsonl,r11l,19,2,1,,0.0,0.8,0.8,solved,0,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),r11l-495a7899_p1_events.jsonl,r11l,19,2,,,,,,solved,,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),r11l-495a7899_p1_events.jsonl,r11l,8,3,,,,,,truncated,,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),r11l-495a7899_p2_events.jsonl,r11l,6,1,,,,,,solved,,arc3-job5-null-control,True,
10,,0.0,Flash-Next (Kaggle),r11l-495a7899_p2_events.jsonl,r11l,54,2,1,,0.0,0.5,0.8,truncated,0,arc3-job5-null-control,False,
20,,0.0,Flash-Next (Kaggle),r11l-495a7899_p2_events.jsonl,r11l,54,2,1,,0.0,0.6,0.85,truncated,0,arc3-job5-null-control,False,
40,,0.0,Flash-Next (Kaggle),r11l-495a7899_p2_events.jsonl,r11l,54,2,1,,0.0,0.325,0.475,truncated,0,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),r11l-495a7899_p2_events.jsonl,r11l,54,2,,,,,,truncated,,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),r11l-495a7899_p3_events.jsonl,r11l,8,1,,,,,,solved,,arc3-job5-null-control,True,
0,,,Flash-Next (Kaggle),r11l-495a7899_p3_events.jsonl,r11l,5,2,,,,,,truncated,,arc3-job5-null-control,False,
10,0.0,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p0_events.jsonl,sb26,12,1,1,7.666666666666667,0.1,0.8,0.9,solved,0,arc3-job5-null-control,True,0.3333333333333333
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p0_events.jsonl,sb26,12,1,,,,,,solved,,arc3-job5-null-control,True,
10,0.0,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p0_events.jsonl,sb26,118,2,1,7.666666666666667,0.0,0.9,1.0,truncated,0,arc3-job5-null-control,False,0.3333333333333333
20,0.5,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p0_events.jsonl,sb26,118,2,1,12.333333333333334,0.0,0.7,1.0,truncated,0,arc3-job5-null-control,False,0.6666666666666666
40,0.5,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p0_events.jsonl,sb26,118,2,1,19.0,0.025,0.375,0.575,truncated,0,arc3-job5-null-control,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p0_events.jsonl,sb26,118,2,,,,,,truncated,,arc3-job5-null-control,False,
10,0.5,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p1_events.jsonl,sb26,11,1,1,4.666666666666667,0.0,0.9,0.9,solved,0,arc3-job5-null-control,True,0.6666666666666666
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p1_events.jsonl,sb26,11,1,,,,,,solved,,arc3-job5-null-control,True,
10,0.0,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p1_events.jsonl,sb26,71,2,1,7.666666666666667,0.0,0.6,0.8,truncated,0,arc3-job5-null-control,False,0.3333333333333333
20,0.5,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p1_events.jsonl,sb26,71,2,1,13.666666666666666,0.05,0.75,0.9,truncated,0,arc3-job5-null-control,False,0.6666666666666666
40,0.5,0.025,Flash-Next (Kaggle),sb26-7fbdac44_p1_events.jsonl,sb26,71,2,2,20.333333333333332,0.075,0.4,0.625,truncated,0,arc3-job5-null-control,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p1_events.jsonl,sb26,71,2,,,,,,truncated,,arc3-job5-null-control,False,
10,0.0,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p2_events.jsonl,sb26,13,1,1,7.666666666666667,0.0,0.6,0.8,solved,0,arc3-job5-null-control,True,0.3333333333333333
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p2_events.jsonl,sb26,13,1,,,,,,solved,,arc3-job5-null-control,True,
10,0.0,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p2_events.jsonl,sb26,95,2,1,7.666666666666667,0.0,0.9,1.0,truncated,0,arc3-job5-null-control,False,0.3333333333333333
20,0.5,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p2_events.jsonl,sb26,95,2,1,12.333333333333334,0.0,0.7,0.95,truncated,0,arc3-job5-null-control,False,0.6666666666666666
40,0.5,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p2_events.jsonl,sb26,95,2,1,19.0,0.0,0.35,0.575,truncated,0,arc3-job5-null-control,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p2_events.jsonl,sb26,95,2,,,,,,truncated,,arc3-job5-null-control,False,
10,0.0,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p3_events.jsonl,sb26,13,1,1,7.666666666666667,0.0,0.6,0.8,solved,0,arc3-job5-null-control,True,0.3333333333333333
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p3_events.jsonl,sb26,13,1,,,,,,solved,,arc3-job5-null-control,True,
10,0.0,0.0,Flash-Next (Kaggle),sb26-7fbdac44_p3_events.jsonl,sb26,46,2,1,7.666666666666667,0.1,0.8,0.9,truncated,0,arc3-job5-null-control,False,0.3333333333333333
20,0.5,0.05,Flash-Next (Kaggle),sb26-7fbdac44_p3_events.jsonl,sb26,46,2,1,13.333333333333334,0.1,0.75,0.85,truncated,0,arc3-job5-null-control,False,0.6666666666666666
40,0.5,0.05,Flash-Next (Kaggle),sb26-7fbdac44_p3_events.jsonl,sb26,46,2,1,20.0,0.125,0.425,0.625,truncated,0,arc3-job5-null-control,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sb26-7fbdac44_p3_events.jsonl,sb26,46,2,,,,,,truncated,,arc3-job5-null-control,False,
10,1.0,0.0,Flash-Next (Kaggle),sc25-635fd71a_p0_events.jsonl,sc25,53,1,1,3.0,0.1,0.8,1.0,died,0,arc3-job5-null-control,False,1.0
20,1.0,0.05,Flash-Next (Kaggle),sc25-635fd71a_p0_events.jsonl,sc25,53,1,7,3.0,0.1,0.4,0.6,died,0,arc3-job5-null-control,False,1.0
40,1.0,0.075,Flash-Next (Kaggle),sc25-635fd71a_p0_events.jsonl,sc25,53,1,7,3.0,0.075,0.2,0.325,died,0,arc3-job5-null-control,False,1.0
0,,,Flash-Next (Kaggle),sc25-635fd71a_p0_events.jsonl,sc25,53,1,,,,,,died,,arc3-job5-null-control,False,
10,0.0,0.1,Flash-Next (Kaggle),sc25-635fd71a_p0_events.jsonl,sc25,36,1,1,9.0,0.1,0.4,0.9,truncated,2,arc3-job5-null-control,False,0.2
20,0.25,0.25,Flash-Next (Kaggle),sc25-635fd71a_p0_events.jsonl,sc25,36,1,9,15.2,0.2,0.3,0.55,truncated,2,arc3-job5-null-control,False,0.4
0,,,Flash-Next (Kaggle),sc25-635fd71a_p0_events.jsonl,sc25,36,1,,,,,,truncated,,arc3-job5-null-control,False,
10,0.25,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,43,1,2,7.2,0.1,0.4,0.6,died,0,arc3-job5-null-control,False,0.4
20,0.25,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,43,1,2,13.2,0.05,0.2,0.3,died,0,arc3-job5-null-control,False,0.4
40,0.25,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,43,1,2,25.2,0.025,0.1,0.15,died,0,arc3-job5-null-control,False,0.4
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,43,1,,,,,,died,,arc3-job5-null-control,False,
10,0.75,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,47,1,1,4.2,0.3,0.9,1.0,died,2,arc3-job5-null-control,False,0.8
20,0.75,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,47,1,1,6.2,0.15,0.45,0.7,died,2,arc3-job5-null-control,False,0.8
40,0.75,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,47,1,1,10.2,0.075,0.225,0.35,died,2,arc3-job5-null-control,False,0.8
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,47,1,,,,,,died,,arc3-job5-null-control,False,
10,0.0,0.3,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,2,9.0,0.1,0.3,0.4,died,4,arc3-job5-null-control,False,0.2
20,0.0,0.25,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,2,17.0,0.05,0.15,0.2,died,4,arc3-job5-null-control,False,0.2
40,0.0,0.25,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,2,33.0,0.025,0.075,0.1,died,4,arc3-job5-null-control,False,0.2
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,,,,,,died,,arc3-job5-null-control,False,
10,0.0,0.3,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,2,9.0,0.1,0.3,0.4,died,6,arc3-job5-null-control,False,0.2
20,0.0,0.25,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,2,17.0,0.05,0.15,0.2,died,6,arc3-job5-null-control,False,0.2
40,0.0,0.25,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,2,33.0,0.025,0.075,0.1,died,6,arc3-job5-null-control,False,0.2
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,,,,,,died,,arc3-job5-null-control,False,
10,0.0,0.5,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,45,1,4,9.0,0.1,0.3,0.5,died,8,arc3-job5-null-control,False,0.2
20,1.0,0.45,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,45,1,7,12.6,0.05,0.4,0.45,died,8,arc3-job5-null-control,False,1.0
40,1.0,0.35,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,45,1,7,12.6,0.025,0.2,0.225,died,8,arc3-job5-null-control,False,1.0
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,45,1,,,,,,died,,arc3-job5-null-control,False,
10,0.0,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,52,1,1,9.0,0.1,0.4,0.9,died,10,arc3-job5-null-control,False,0.2
20,0.0,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,52,1,1,17.0,0.05,0.2,0.45,died,10,arc3-job5-null-control,False,0.2
40,0.0,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,52,1,1,33.0,0.025,0.1,0.225,died,10,arc3-job5-null-control,False,0.2
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,52,1,,,,,,died,,arc3-job5-null-control,False,
10,0.0,0.2,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,1,9.0,0.1,0.3,0.4,died,12,arc3-job5-null-control,False,0.2
20,0.0,0.2,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,1,17.0,0.05,0.15,0.2,died,12,arc3-job5-null-control,False,0.2
40,0.0,0.225,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,1,33.0,0.025,0.075,0.1,died,12,arc3-job5-null-control,False,0.2
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,42,1,,,,,,died,,arc3-job5-null-control,False,
10,0.0,0.0,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,23,1,3,9.0,0.1,0.3,0.7,truncated,14,arc3-job5-null-control,False,0.2
20,0.0,0.05,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,23,1,3,17.0,0.05,0.2,0.45,truncated,14,arc3-job5-null-control,False,0.2
0,,,Flash-Next (Kaggle),sc25-635fd71a_p1_events.jsonl,sc25,23,1,,,,,,truncated,,arc3-job5-null-control,False,
10,1.0,0.1,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,28,1,1,3.0,0.1,0.5,0.6,solved,0,arc3-job5-null-control,True,1.0
20,1.0,0.05,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,28,1,1,3.0,0.25,0.55,0.7,solved,0,arc3-job5-null-control,True,1.0
0,,,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,28,1,,,,,,solved,,arc3-job5-null-control,True,
10,0.25,0.0,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,17,2,10,9.0,0.0,0.1,0.1,solved,0,arc3-job5-null-control,True,0.2
0,,,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,17,2,,,,,,solved,,arc3-job5-null-control,True,
10,0.5,0.0,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,40,3,5,7.2,0.1,0.5,0.5,truncated,0,arc3-job5-null-control,False,0.6
20,0.75,0.25,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,40,3,5,10.2,0.15,0.5,0.3,truncated,0,arc3-job5-null-control,False,0.8
40,1.0,0.475,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,40,3,6,12.2,0.125,0.35,0.2,truncated,0,arc3-job5-null-control,False,1.0
0,,,Flash-Next (Kaggle),sc25-635fd71a_p2_events.jsonl,sc25,40,3,,,,,,truncated,,arc3-job5-null-control,False,
10,0.25,0.0,Flash-Next (Kaggle),sc25-635fd71a_p3_events.jsonl,sc25,54,1,1,7.2,0.1,0.4,0.8,died,0,arc3-job5-null-control,False,0.4
20,0.25,0.0,Flash-Next (Kaggle),sc25-635fd71a_p3_events.jsonl,sc25,54,1,1,13.2,0.25,0.45,0.7,died,0,arc3-job5-null-control,False,0.4
40,1.0,0.125,Flash-Next (Kaggle),sc25-635fd71a_p3_events.jsonl,sc25,54,1,6,14.4,0.175,0.3,0.425,died,0,arc3-job5-null-control,False,1.0
0,,,Flash-Next (Kaggle),sc25-635fd71a_p3_events.jsonl,sc25,54,1,,,,,,died,,arc3-job5-null-control,False,
0,,,Flash-Next (Kaggle),sc25-635fd71a_p3_events.jsonl,sc25,9,1,,,,,,truncated,,arc3-job5-null-control,False,
10,0.3333333333333333,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,1,6.25,0.0,0.9,0.9,died,0,arc3-job6-glyph-consonants,False,0.5
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,7,9.0,0.0,0.6,0.55,died,0,arc3-job6-glyph-consonants,False,0.75
40,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,7,14.0,0.0,0.45,0.45,died,0,arc3-job6-glyph-consonants,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,,,,,,died,,arc3-job6-glyph-consonants,False,
10,0.3333333333333333,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,3,7.75,0.0,0.7,0.8,died,2,arc3-job6-glyph-consonants,False,0.5
20,0.3333333333333333,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,8,12.75,0.0,0.55,0.55,died,2,arc3-job6-glyph-consonants,False,0.5
40,0.3333333333333333,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,16,22.75,0.0,0.35,0.375,died,2,arc3-job6-glyph-consonants,False,0.5
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,,,,,,died,,arc3-job6-glyph-consonants,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,2,7.25,0.0,0.8,0.9,died,4,arc3-job6-glyph-consonants,False,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,5,9.75,0.0,0.6,0.65,died,4,arc3-job6-glyph-consonants,False,0.75
40,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,14,14.75,0.0,0.35,0.4,died,4,arc3-job6-glyph-consonants,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,48,1,,,,,,died,,arc3-job6-glyph-consonants,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,2,7.25,0.0,0.8,0.9,solved,6,arc3-job6-glyph-consonants,True,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,5,9.75,0.0,0.6,0.75,solved,6,arc3-job6-glyph-consonants,True,0.75
40,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,6,14.75,0.0,0.525,0.475,solved,6,arc3-job6-glyph-consonants,True,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,46,1,,,,,,solved,,arc3-job6-glyph-consonants,True,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,21,1,4,5.75,0.0,0.6,0.5,solved,0,arc3-job6-glyph-consonants,True,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,21,1,5,8.25,0.0,0.55,0.4,solved,0,arc3-job6-glyph-consonants,True,0.75
