ts_utc,gpu_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_power_w,cpu_util_pct,mem_used_mib,mem_total_mib
2026-09-05T21:21:31Z,100,95830,97887,394.89,5.8,61350,181111
2026-09-05T21:21:51Z,100,95830,97887,451.18,5.7,61387,181111
2026-09-05T21:22:11Z,100,95830,97887,391.07,7.0,61544,181111
2026-09-05T21:22:31Z,100,95830,97887,432.03,5.4,61438,181111
2026-09-05T21:22:51Z,100,95830,97887,386.52,5.6,61414,181111
2026-09-05T21:23:11Z,100,95830,97887,425.54,5.8,61392,181111
2026-09-05T21:23:31Z,100,95838,97887,382.51,6.0,61417,181111
2026-09-05T21:23:51Z,100,95838,97887,389.12,5.8,61406,181111
2026-09-05T21:24:11Z,100,95838,97887,430.53,6.1,61609,181111
2026-09-05T21:24:31Z,100,95844,97887,497.68,6.4,61509,181111
2026-09-05T21:24:51Z,100,95844,97887,389.62,5.8,61439,181111
2026-09-05T21:25:11Z,100,95846,97887,390.60,5.7,61415,181111
2026-09-05T21:25:31Z,99,95846,97887,497.26,6.1,61436,181111
2026-09-05T21:25:52Z,100,95846,97887,484.82,5.7,61436,181111
2026-09-05T21:26:12Z,100,95846,97887,478.83,6.2,61449,181111
2026-09-05T21:26:32Z,100,95846,97887,388.84,6.6,61582,181111
2026-09-05T21:26:52Z,100,95846,97887,392.67,6.3,61536,181111
2026-09-05T21:27:12Z,100,95846,97887,496.09,5.4,61465,181111
2026-09-05T21:27:32Z,100,95846,97887,473.50,5.5,61472,181111
2026-09-05T21:27:52Z,100,95846,97887,390.67,5.6,61470,181111
2026-09-05T21:28:12Z,100,95846,97887,391.22,5.7,61482,181111
2026-09-05T21:28:32Z,100,95846,97887,457.75,5.7,61478,181111
2026-09-05T21:28:52Z,100,95846,97887,412.59,7.1,61654,181111
2026-09-05T21:29:12Z,100,95846,97887,463.25,5.9,61575,181111
2026-09-05T21:29:32Z,99,95846,97887,453.26,5.9,61534,181111
2026-09-05T21:29:52Z,100,95846,97887,409.49,6.0,61515,181111
2026-09-05T21:30:12Z,100,95846,97887,391.63,5.7,61542,181111
2026-09-05T21:30:32Z,99,95846,97887,491.59,5.6,61514,181111
2026-09-05T21:30:52Z,100,95846,97887,497.35,6.3,61509,181111
